Ranking,District,State,Population,Growth,Sex_Ratio,Literacy,Store_Score
626,Serchhip,Mizoram,64937,20.56,977,97.91,0.384
627,Lakshadweep,Lakshadweep,64473,6.3,946,91.85,0.327
628,Saiha,Mizoram,56574,-7.34,979,90.01,0.291
629,Yanam,Puducherry,55626,77.19,1038,79.47,0.405
630,Lower Dibang Valley,Arunachal Pradesh,54080,7.2,928,69.13,0.218
631,Diu,Daman and Diu,52074,17.77,1031,83.46,0.308
632,Longleng,Nagaland,50484,-21.57,905,72.17,0.177
633,Tawang,Arunachal Pradesh,49977,28.4,714,59.0,0.21
634,North Sikkim,Sikkim,43709,6.53,767,78.01,0.26
635,Mahe,Puducherry,41816,13.54,1184,97.87,0.37
636,Nicobars,Andaman and Nicobar Islands,36842,-12.42,777,78.06,0.223
637,Upper Siang,Arunachal Pradesh,35320,5.87,889,59.99,0.171
638,Lahul and Spiti,Himachal Pradesh,31564,-5.0,903,76.81,0.231
639,Anjaw,Arunachal Pradesh,21167,14.19,839,56.46,0.169
640,Dibang Valley,Arunachal Pradesh,8004,10.07,813,64.1,0.198
